"Timestamp","What drink did you have this morning for breakfast?","How many notes did you take during today's lecture?","Are you planning to review the lecture slides when you return to your dorm today?","How alert did you feel during today's lecture, 1 being the least and 5 being the most?"
"2026/07/07 11:42:45 AM MDT","Caffeinated","Most of the information","Yes","4"
"2026/07/07 11:43:18 AM MDT","Non-caffeinated","Half of the information","No","3"
"2026/07/07 11:44:15 AM MDT","Water","Most of the information","No","2"
"2026/07/07 11:44:32 AM MDT","Non-caffeinated","Most of the information","Yes","3"
"2026/07/07 11:45:01 AM MDT","Water","None","No","3"
"2026/07/07 11:45:10 AM MDT","Non-caffeinated","Most of the information","No","4"
"2026/07/07 11:45:12 AM MDT","Water","Almost all of the information","Yes","3"
"2026/07/07 11:45:20 AM MDT","Water","Half of the information","Yes","4"
"2026/07/07 11:45:26 AM MDT","Water","Most of the information","Yes","3"
"2026/07/07 11:45:50 AM MDT","Caffeinated","Most of the information","Yes","1"
"2026/07/07 11:46:20 AM MDT","Non-caffeinated","Most of the information","No","5"
"2026/07/07 11:46:58 AM MDT","Water","Half of the information","Yes","4"
"2026/07/07 11:47:25 AM MDT","Water","Most of the information","No","3"
"2026/07/07 11:47:27 AM MDT","Non-caffeinated","Half of the information","No","2"
"2026/07/07 11:47:43 AM MDT","Water","Most of the information","Yes","3"
"2026/07/07 11:48:07 AM MDT","Water","Most of the information","No","1"
"2026/07/07 11:48:08 AM MDT","Water","Half of the information","Yes","4"
"2026/07/07 11:48:17 AM MDT","Water","Most of the information","Yes","4"